,ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,District,Latitude,Longitude,X Coordinate,Y Coordinate,Year,Month,Day,Weekday,HourOfDay
4484747,4513949,2005-12-31 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,16.0,41.983414075,-87.77318223200001,1136546.0,1937044.0,2005,12,31,5,23
1269971,9693773,2014-07-13 23:45:00,BATTERY,SIMPLE,SIDEWALK,False,False,3.0,41.784754925,-87.588143196,1187484.0,1865036.0,2014,7,13,6,23
6097947,2274761,2002-07-25 05:35:00,THEFT,OVER $500,VACANT LOT/LAND,False,True,7.0,41.789044581,-87.63628737200001,1174341.0,1866489.0,2002,7,25,3,5
6441103,1848839,2001-11-05 00:01:00,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,RESIDENCE,False,False,6.0,41.732829411,-87.608633825,1182055.0,1846067.0,2001,11,5,0,0
2467802,7778013,2010-10-27 21:15:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1.0,41.868699038,-87.625858624,1176946.0,1895538.0,2010,10,27,2,21
3228421,6715818,2008-11-06 19:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,6.0,41.74953147,-87.671906514,1164738.0,1852014.0,2008,11,6,3,19
2319741,8015106,2011-04-12 12:50:00,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,"SCHOOL, PUBLIC, BUILDING",True,False,12.0,41.877585867,-87.683123746,1161324.0,1898653.0,2011,4,12,1,12
1969895,8561913,2012-04-11 09:30:00,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,True,False,18.0,41.909240284,-87.65274758,1169505.0,1910252.0,2012,4,11,2,9
505265,10958691,2017-05-24 12:45:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,25.0,41.904741552,-87.771813277,1137106.0,1908378.0,2017,5,24,2,12
6756343,1439579,2001-03-22 14:10:00,BATTERY,SIMPLE,STREET,False,True,3.0,41.769832961,-87.58373002399999,1188735.0,1859609.0,2001,3,22,3,14
2842150,7201635,2009-10-29 16:10:00,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,12.0,41.885312381,-87.66757363100001,1165537.0,1901501.0,2009,10,29,3,16
2498438,7731724,2010-09-28 18:00:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,10.0,41.846147271,-87.685479111,1160769.0,1887192.0,2010,9,28,1,18
2876926,7149169,2009-09-27 05:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,False,14.0,41.907309809000004,-87.713082085,1153087.0,1909424.0,2009,9,27,6,5
4359963,4695197,2006-04-17 11:40:00,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,False,5.0,41.677052099,-87.635864574,1174787.0,1825681.0,2006,4,17,0,11
833032,10437397,2016-03-05 05:10:00,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,14.0,41.916483735,-87.67272794700001,1164046.0,1912849.0,2016,3,5,5,5
6530367,1720429,2001-09-01 17:05:00,ASSAULT,SIMPLE,STREET,False,False,22.0,41.686452222,-87.638710205,1173982.0,1829100.0,2001,9,1,5,17
2421214,7851215,2010-12-16 22:55:00,BATTERY,SIMPLE,SIDEWALK,True,False,17.0,41.969343296999995,-87.724431615,1149837.0,1932007.0,2010,12,16,3,22
2258006,8108651,2011-06-12 17:35:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,OTHER,True,False,3.0,41.782203969,-87.62210613,1178229.0,1864028.0,2011,6,12,6,17
445868,11044846,2017-08-06 16:30:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,6.0,41.750692189,-87.640682314,1173255.0,1852504.0,2017,8,6,6,16
65325,11561690,2019-01-09 16:54:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,True,False,6.0,41.75602262,-87.64955295799999,1170819.0,1854427.0,2019,1,9,2,16
4036338,5250559,2007-01-01 00:01:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,6.0,41.747855703,-87.670652119,1165085.0,1851406.0,2007,1,1,0,0
1700200,8985713,2013-01-27 07:50:00,ARSON,ATTEMPT ARSON,CHA APARTMENT,False,False,11.0,41.873761627,-87.699545765,1156862.0,1897226.0,2013,1,27,6,7
4223179,4896332,2006-08-01 00:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,AIRPORT/AIRCRAFT,True,False,16.0,41.976290414,-87.905227221,1100658.0,1934241.0,2006,8,1,1,0
3858943,5579320,2007-06-04 05:34:00,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,True,False,19.0,41.947480332,-87.68828080700001,1159728.0,1924112.0,2007,6,4,0,5
1358660,9547008,2014-03-26 11:54:00,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,15.0,41.889285333000004,-87.765543601,1138850.0,1902757.0,2014,3,26,2,11
1715835,8959695,2013-01-07 19:00:00,THEFT,$500 AND UNDER,STREET,False,False,22.0,41.725623341,-87.672917414,1164529.0,1843300.0,2013,1,7,0,19
3130114,6764412,2009-02-12 21:10:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,6.0,41.748178972,-87.643970789,1172365.0,1851581.0,2009,2,12,3,21
5610645,3359068,2003-08-01 00:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,17.0,41.941871561999996,-87.69919149200001,1156775.0,1922046.0,2003,8,1,4,0
4808442,3939444,2005-04-21 18:20:00,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,3.0,41.769247493,-87.571489559,1192076.0,1859425.0,2005,4,21,3,18
4391330,4664448,2006-03-22 16:22:00,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,ALLEY,False,False,5.0,41.702957921,-87.619662353,1179135.0,1835157.0,2006,3,22,2,16
2246479,8189292,2011-06-23 12:00:00,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,BANK,False,False,25.0,41.909895811,-87.72557369399999,1149680.0,1910342.0,2011,6,23,3,12
372679,11146633,2017-11-11 18:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,18.0,41.897012256,-87.632716018,1174994.0,1905840.0,2017,11,11,5,18
2712858,7403504,2010-03-13 07:30:00,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,17.0,41.956288832,-87.699537553,1156642.0,1927299.0,2010,3,13,5,7
6375172,1912922,2001-12-27 14:40:00,THEFT,$500 AND UNDER,DEPARTMENT STORE,False,False,9.0,41.810223246999996,-87.675075348,1163704.0,1874123.0,2001,12,27,3,14
4071518,5153324,2006-11-30 10:00:00,ASSAULT,SIMPLE,RESIDENCE,False,True,7.0,41.773522476,-87.665321568,1166467.0,1860770.0,2006,11,30,3,10
4987687,3666308,2004-11-18 09:30:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,GAS STATION,False,False,17.0,41.953852531,-87.713208208,1152930.0,1926384.0,2004,11,18,3,9
3774713,5706340,2007-08-07 15:20:00,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,False,False,4.0,41.736885486999995,-87.587615985,1187779.0,1847594.0,2007,8,7,1,15
2652120,7495830,2010-05-09 18:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,6.0,41.748495383000005,-87.66642760799999,1166236.0,1851648.0,2010,5,9,6,18
6226340,2101874,2002-04-25 22:01:49,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,41.743418293000005,-87.70587129799999,1155486.0,1849717.0,2002,4,25,3,22
2587975,7594817,2010-07-07 22:55:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,22.0,41.689792566,-87.66376112,1167130.0,1830263.0,2010,7,7,2,22
4336621,4726077,2006-05-05 21:46:00,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,False,7.0,41.78721042,-87.634319846,1174883.0,1865825.0,2006,5,5,4,21
4771257,4011726,2005-05-20 12:07:03,ASSAULT,SIMPLE,OTHER,False,False,15.0,41.890782457,-87.745660986,1144260.0,1903339.0,2005,5,20,4,12
6341760,1954422,2002-01-24 08:00:00,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,18.0,41.891537223,-87.637634891,1173671.0,1903834.0,2002,1,24,3,8
1882280,8696768,2012-07-08 21:20:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,16.0,41.946619876999996,-87.78229355299999,1134155.0,1923620.0,2012,7,8,6,21
3288858,6508147,2008-09-18 19:57:26,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,41.877641093,-87.73046934700001,1148430.0,1898579.0,2008,9,18,3,19
5906928,2498769,2002-12-12 15:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,8.0,41.795271144000004,-87.799086045,1129930.0,1868440.0,2002,12,12,3,15
693075,10668862,2016-09-03 20:30:00,THEFT,$500 AND UNDER,RESIDENCE,False,True,8.0,41.742794306,-87.728713041,1149254.0,1849445.0,2016,9,3,5,20
2091382,8369217,2011-11-23 12:00:00,THEFT,FROM BUILDING,RESIDENCE,False,False,6.0,41.731033877,-87.613753714,1180663.0,1845401.0,2011,11,23,2,12
4129335,5056405,2006-10-13 14:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,12.0,41.886944243,-87.655679881,1168771.0,1902121.0,2006,10,13,4,14
4732187,4105565,2005-06-18 22:40:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,25.0,41.909932266,-87.722101603,1150625.0,1910362.0,2005,6,18,5,22
5147504,3496172,2004-07-23 02:33:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,5.0,41.655614946,-87.61387294200001,1180860.0,1817919.0,2004,7,23,4,2
4815900,3926281,2005-04-16 01:35:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,ALLEY,False,False,14.0,41.909202816,-87.67743195799999,1162786.0,1910186.0,2005,4,16,5,1
4053805,5186980,2006-12-16 06:30:00,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,17.0,41.968998215999996,-87.715826584,1152178.0,1931898.0,2006,12,16,5,6
2401756,7880874,2011-01-09 09:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,25.0,41.92567004,-87.73663553700001,1146629.0,1916069.0,2011,1,9,6,9
3964904,5365986,2007-03-10 11:45:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,22.0,41.713795241999996,-87.639375486,1173720.0,1839062.0,2007,3,10,5,11
5331027,3211941,2004-03-06 19:55:06,BATTERY,SIMPLE,STREET,False,False,7.0,41.769070498000005,-87.626668445,1177024.0,1859232.0,2004,3,6,5,19
1989009,8538507,2012-03-21 08:06:00,PROSTITUTION,SOLICIT FOR PROSTITUTE,STREET,True,False,7.0,41.779446936,-87.664768795,1166601.0,1862930.0,2012,3,21,2,8
953286,10233589,2015-09-13 15:05:00,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,8.0,41.776580739,-87.699421967,1157157.0,1861814.0,2015,9,13,6,15
2080182,8386158,2011-12-05 19:25:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,4.0,41.740577299,-87.5429736,1199951.0,1849048.0,2011,12,5,0,19
3185217,6665565,2008-12-17 15:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,25.0,41.926363677,-87.79654954899999,1130323.0,1916214.0,2008,12,17,2,15
3858833,5583018,2007-06-04 09:00:00,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,12.0,41.898036749,-87.705957815,1155051.0,1906059.0,2007,6,4,0,9
5580605,2902753,2003-08-21 21:00:00,THEFT,$500 AND UNDER,STREET,False,False,22.0,41.73488972,-87.66182374799999,1167531.0,1846700.0,2003,8,21,3,21
6415605,1863177,2001-11-24 17:30:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,17.0,41.968544953,-87.71015341200001,1153722.0,1931744.0,2001,11,24,5,17
1054530,10061116,2015-05-06 14:40:00,BATTERY,SIMPLE,SIDEWALK,True,False,9.0,41.796651813000004,-87.696323361,1157948.0,1869134.0,2015,5,6,2,14
5094219,3516808,2004-08-30 18:00:00,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,False,False,1.0,41.885971237,-87.626292406,1176776.0,1901831.0,2004,8,30,0,18
4128190,5066294,2006-10-14 12:00:00,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,25.0,41.906195156,-87.733128634,1147633.0,1908979.0,2006,10,14,5,12
530373,10930765,2017-04-20 15:00:00,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,"SCHOOL, PUBLIC, BUILDING",False,False,6.0,41.725449081,-87.630135884,1176208.0,1843329.0,2017,4,20,3,15
4003255,5296996,2007-01-31 08:00:00,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,3.0,41.783474440999996,-87.613273996,1180634.0,1864511.0,2007,1,31,2,8
5788406,2643345,2003-03-22 01:00:00,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",RESIDENTIAL YARD (FRONT/BACK),False,False,11.0,41.900031703,-87.714026753,1152849.0,1906770.0,2003,3,22,5,1
536313,10909735,2017-04-12 14:00:00,THEFT,POCKET-PICKING,CTA TRAIN,False,False,1.0,41.885741029,-87.63171174899999,1175301.0,1901735.0,2017,4,12,2,14
721359,10618827,2016-07-30 22:00:00,THEFT,FROM BUILDING,RESIDENCE,False,False,15.0,41.886275336,-87.765078145,1138984.0,1901661.0,2016,7,30,5,22
1596986,9153361,2013-05-31 12:50:00,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,True,False,24.0,41.998203658,-87.68867747700001,1159481.0,1942595.0,2013,5,31,4,12
4511098,4477495,2005-12-06 18:00:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,8.0,41.805389211,-87.727185919,1149510.0,1872257.0,2005,12,6,1,18
4479950,4558682,2006-01-04 16:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2.0,41.800912206999996,-87.59777407600001,1184807.0,1870901.0,2006,1,4,2,16
3507248,6222275,2008-03-28 12:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,20.0,41.985999837,-87.65526672700001,1168598.0,1938218.0,2008,3,28,4,12
5783379,2650518,2003-03-26 00:30:00,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,False,False,1.0,41.888165132,-87.62293721200001,1177683.0,1902638.0,2003,3,26,2,0
3735001,5774988,2007-09-07 14:05:00,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,12.0,41.881058464,-87.698034181,1157254.0,1899888.0,2007,9,7,4,14
2339976,7983120,2011-03-22 16:50:00,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,True,True,2.0,41.816039143000005,-87.62625873399999,1176995.0,1876348.0,2011,3,22,1,16
3069765,6860840,2009-04-10 21:00:00,BATTERY,SIMPLE,CTA TRAIN,True,False,9.0,41.809125265,-87.63190650799999,1175476.0,1873816.0,2009,4,10,4,21
6350851,1945976,2002-01-16 14:35:00,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,4.0,41.707331718,-87.53528374700001,1202162.0,1836953.0,2002,1,16,2,14
186137,11396389,2018-07-29 20:30:00,ASSAULT,SIMPLE,STREET,False,False,7.0,41.782607522,-87.667933171,1165729.0,1864075.0,2018,7,29,6,20
1976039,8551922,2012-04-04 11:31:00,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,4.0,41.722362598000004,-87.58382047,1188861.0,1842311.0,2012,4,4,2,11
3645583,5917109,2007-11-17 15:00:00,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2.0,41.812505323,-87.60443499600001,1182955.0,1875110.0,2007,11,17,5,15
5011933,3635304,2004-10-30 09:30:00,THEFT,$500 AND UNDER,STREET,False,False,11.0,41.874123475,-87.743783138,1144813.0,1897272.0,2004,10,30,5,9
1248098,9729972,2014-08-08 18:20:00,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,14.0,41.908184841,-87.71555703799999,1152411.0,1909738.0,2014,8,8,4,18
1580282,9179658,2013-06-18 17:30:00,THEFT,OVER $500,SIDEWALK,False,False,19.0,41.933582379,-87.64551708200001,1171402.0,1919138.0,2013,6,18,1,17
838207,10428678,2016-02-26 14:45:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,11.0,41.897999586,-87.732360565,1147863.0,1905994.0,2016,2,26,4,14
1502150,9303216,2013-09-11 15:50:00,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,11.0,41.880715740999996,-87.726507595,1149501.0,1899707.0,2013,9,11,2,15
4663204,4217530,2005-08-09 07:13:08,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,False,False,9.0,41.807118632,-87.641314596,1172917.0,1873064.0,2005,8,9,1,7
4174028,5186087,2006-09-07 19:47:18,NARCOTICS,POSS: COCAINE,RESIDENCE,True,False,25.0,41.921035389000004,-87.75113765100001,1142694.0,1914353.0,2006,9,7,3,19
5490184,3042929,2003-10-25 18:45:00,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,STREET,True,False,7.0,41.766547675,-87.63596644399999,1174495.0,1858292.0,2003,10,25,5,18
2265199,8100269,2011-06-05 21:00:00,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,25.0,41.931580603,-87.742908885,1144907.0,1918211.0,2011,6,5,6,21
3577074,6031720,2008-01-20 14:20:00,BATTERY,SIMPLE,SIDEWALK,False,False,8.0,41.778384231,-87.69702845399999,1157805.0,1862476.0,2008,1,20,6,14
3755779,5746379,2007-08-22 10:32:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,19.0,41.965425822,-87.655139299,1168692.0,1930721.0,2007,8,22,2,10
4230454,4889291,2006-07-26 15:00:00,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,14.0,41.911043288,-87.69578611600001,1157785.0,1910819.0,2006,7,26,2,15
303815,11238980,2018-02-23 21:05:00,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,19.0,41.949341196,-87.688331891,1159709.0,1924790.0,2018,2,23,4,21
3600253,5992279,2007-12-31 09:30:00,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,9.0,41.809337248,-87.685281589,1160924.0,1873779.0,2007,12,31,0,9
4115028,5075223,2006-10-25 03:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,6.0,41.74975704,-87.64765520200001,1171355.0,1852148.0,2006,10,25,2,3
1686943,9017967,2013-02-13 07:00:00,THEFT,OVER $500,STREET,False,False,4.0,41.726219145,-87.567294437,1193360.0,1843756.0,2013,2,13,2,7
1156987,9881283,2014-12-05 14:12:00,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,RESIDENCE,False,False,7.0,41.782509745,-87.64299087799999,1172532.0,1864093.0,2014,12,5,4,14
1259124,9711993,2014-07-26 20:40:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,12.0,41.883116815,-87.678521409,1162562.0,1900678.0,2014,7,26,5,20
6382686,1918863,2001-12-20 08:00:00,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",False,False,25.0,41.920034359,-87.76108596600001,1139989.0,1913970.0,2001,12,20,3,8
3835400,5613638,2007-06-22 10:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,12.0,41.871835685,-87.653570431,1169389.0,1896620.0,2007,6,22,4,10
3332064,6487029,2008-08-15 18:40:00,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,2.0,41.803441193000005,-87.61800188299999,1179284.0,1871776.0,2008,8,15,4,18
2008779,8499896,2012-02-28 17:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,9.0,41.805999705,-87.672191635,1164502.0,1872590.0,2012,2,28,1,17
835340,10433104,2016-03-01 15:40:00,BURGLARY,HOME INVASION,APARTMENT,False,False,3.0,41.77022609,-87.621816888,1178344.0,1859664.0,2016,3,1,1,15
1158893,9884558,2014-12-02 21:00:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,7.0,41.764507188,-87.637080856,1174197.0,1857546.0,2014,12,2,1,21
4710275,4127051,2005-07-05 15:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,41.77204784,-87.61864773399999,1179203.0,1860335.0,2005,7,5,1,15
3596457,6020251,2008-01-03 13:05:00,NARCOTICS,MANU/DELIVER:CRACK,SIDEWALK,True,False,3.0,41.779901695,-87.605918913,1182651.0,1863226.0,2008,1,3,3,13
4140402,5167988,2006-10-04 16:43:06,GAMBLING,GAME/DICE,SIDEWALK,True,False,25.0,41.911693567,-87.76307825200001,1139467.0,1910927.0,2006,10,4,2,16
1374270,9516881,2014-03-04 18:15:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,11.0,41.869641852,-87.71963649799999,1151401.0,1895685.0,2014,3,4,1,18
2762783,7321953,2010-01-19 00:01:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,19.0,41.96412654,-87.67090129200001,1164409.0,1930214.0,2010,1,19,1,0
5013578,3625066,2004-10-29 07:00:00,THEFT,OVER $500,STREET,False,False,16.0,41.937992937,-87.807051947,1127439.0,1920434.0,2004,10,29,4,7
1473311,9370130,2013-10-15 12:00:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,9.0,41.827625602,-87.646637779,1171406.0,1880525.0,2013,10,15,1,12
288902,11259317,2018-03-17 22:00:00,THEFT,$500 AND UNDER,RESIDENCE,False,False,6.0,41.738992046999996,-87.65707272200001,1168816.0,1848205.0,2018,3,17,5,22
5129124,3488744,2004-08-05 10:15:00,ROBBERY,ARMED: HANDGUN,STREET,False,False,2.0,41.823807310999996,-87.61902264700001,1178944.0,1879195.0,2004,8,5,3,10
2244526,8156725,2011-06-25 08:00:00,THEFT,FROM BUILDING,OTHER,False,False,12.0,41.869879091,-87.684901761,1160861.0,1895841.0,2011,6,25,5,8
983651,10183035,2015-08-06 00:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,17.0,41.950790695,-87.71895429899999,1151375.0,1925257.0,2015,8,6,3,0
3231201,6608499,2008-11-04 13:00:00,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,False,22.0,41.692041778000004,-87.665923635,1166533.0,1831078.0,2008,11,4,1,13
